"organization_id","converted","updated_at","last_trial_step","last_trial_activity","trial_status","total_steps","trial_start","trial_start_week","trial_end"
"3a5acf87a927536f76490fc8a507e17b","0","2024-01-01 21:31:44","3","Scheduling.Shift.Approved","Completed","6","2024-01-01 20:49:51","2023-12-31","2024-01-31 20:49:51"
"24c0d01774dbf0a77e6d094065418f34","0","2024-01-01 22:58:44","1","Scheduling.Shift.Created","Not Completed","2","2024-01-01 22:54:32","2023-12-31","2024-01-31 22:54:32"
"084cf2abea31616abcb483e2fc6bae22","0","2024-01-02 04:42:01","1","Scheduling.Shift.Created","Not Completed","2","2024-01-02 04:39:05","2023-12-31","2024-02-01 04:39:05"
"322575f5e0ba3cb91a1aba056424c7c9","0","2024-01-02 09:27:10","4","Scheduling.Shift.AssignmentChanged","Not Completed","3","2024-01-02 09:01:57","2023-12-31","2024-02-01 09:01:57"
"3c482b107ebcd79c4708efc6f494440e","1","2024-01-02 10:13:36","1","Scheduling.Shift.Created","Not Completed","3","2024-01-02 10:10:06","2023-12-31","2024-02-01 10:10:06"
"42a99d938566d4c2457f8adf4c892fc1","1","2024-01-02 10:43:37","4","Scheduling.Shift.AssignmentChanged","Not Completed","4","2024-01-02 10:36:39","2023-12-31","2024-02-01 10:36:39"
"4bad3acf74d4da3b7933425ff130832e","1","2024-01-02 12:44:22","2","Mobile.Schedule.Loaded","Completed","7","2024-01-02 11:20:22","2023-12-31","2024-02-01 11:20:22"
"284746c1d3d16056bd0ac1f13dc90416","1","2024-01-02 16:46:13","4","Scheduling.Shift.AssignmentChanged","Not Completed","4","2024-01-02 15:49:14","2023-12-31","2024-02-01 15:49:14"
"2ca6092f04ce8cdc3426c197fed291c6","0","2024-01-02 18:10:40","2","Mobile.Schedule.Loaded","Completed","5","2024-01-01 15:21:50","2023-12-31","2024-01-31 15:21:50"
"12ed7b7e84363bcfb31778d69276693b","1","2024-01-02 18:44:07","4","Scheduling.Shift.AssignmentChanged","Not Completed","4","2024-01-01 19:04:31","2023-12-31","2024-01-31 19:04:31"
"25b1d2bb5f664d075b4ab3548e028876","1","2024-01-02 18:54:56","4","Scheduling.Shift.AssignmentChanged","Not Completed","4","2024-01-02 18:36:38","2023-12-31","2024-02-01 18:36:38"
"43540ff4b8412bc9ab648fb11c2cc251","0","2024-01-02 20:12:48","2","Mobile.Schedule.Loaded","Completed","5","2024-01-02 19:44:59","2023-12-31","2024-02-01 19:44:59"
"25982b524733df298926691ccbda5f7f","0","2024-01-02 23:46:02","1","Scheduling.Shift.Created","Not Completed","2","2024-01-02 23:44:21","2023-12-31","2024-02-01 23:44:21"
"1a220a292104ae82c528dfac41a9cc29","1","2024-01-03 09:24:31","2","Mobile.Schedule.Loaded","Completed","5","2024-01-02 20:20:02","2023-12-31","2024-02-01 20:20:02"
"0379cb8da8d974fb7c8e8e7796ea9aaf","0","2024-01-03 12:30:45","4","Scheduling.Shift.AssignmentChanged","Completed","5","2024-01-03 08:39:39","2023-12-31","2024-02-02 08:39:39"
"4bf4cc2916d76d5032dfd74224982060","0","2024-01-03 12:34:25","1","Scheduling.Shift.Created","Not Completed","2","2024-01-03 12:32:44","2023-12-31","2024-02-02 12:32:44"
"0752928bd25afda76d4d54ee702e80d4","0","2024-01-03 13:50:11","3","Scheduling.Shift.Approved","Completed","5","2024-01-02 09:37:14","2023-12-31","2024-02-01 09:37:14"
"1ef6adc7e9245e35da160a89a426895e","0","2024-01-03 14:08:14","4","Scheduling.Shift.AssignmentChanged","Not Completed","4","2024-01-02 12:39:32","2023-12-31","2024-02-01 12:39:32"
"2d9f8ffed221bb962c28baccf571f955","0","2024-01-03 15:14:40","0","First.Action","Not Completed","1","2024-01-03 15:10:42","2023-12-31","2024-02-02 15:10:42"
"0c8b2b22cad0d69afd36b11b3b530836","0","2024-01-03 15:23:57","4","Scheduling.Shift.AssignmentChanged","Completed","5","2024-01-03 11:39:36","2023-12-31","2024-02-02 11:39:36"
"1580a0b6393fd7aafadfac175313e289","1","2024-01-03 16:26:00","1","Scheduling.Shift.Created","Not Completed","3","2024-01-03 16:23:58","2023-12-31","2024-02-02 16:23:58"
"20dc5d35f753b640a1113aecbd892ac8","1","2024-01-03 16:58:13","1","Scheduling.Shift.Created","Not Completed","3","2024-01-03 16:54:48","2023-12-31","2024-02-02 16:54:48"
"496471048946ccac944afcef5feaadb1","0","2024-01-03 17:28:36","2","Mobile.Schedule.Loaded","Not Completed","2","2024-01-03 17:25:53","2023-12-31","2024-02-02 17:25:53"
"13525c006ccf2884038e21de65d36c0b","0","2024-01-04 14:05:08","5","Scheduling.Template.ApplyModal.Applied","Not Completed","3","2024-01-04 13:41:03","2023-12-31","2024-02-03 13:41:03"
"4b2afe7389af055f6c6076ccc6a06459","0","2024-01-04 16:33:00","0","First.Action","Not Completed","1","2024-01-04 16:28:35","2023-12-31","2024-02-03 16:28:35"
"4021dbe5338de710ab82439bc41bdc5f","0","2024-01-04 16:51:08","1","Scheduling.Shift.Created","Not Completed","2","2024-01-04 16:50:13","2023-12-31","2024-02-03 16:50:13"
"12d70131a26c2fd4022aea91db5aaa66","0","2024-01-04 19:16:25","4","Scheduling.Shift.AssignmentChanged","Not Completed","3","2024-01-04 19:10:58","2023-12-31","2024-02-03 19:10:58"
"207e9cd9fe854b71c7d88568f2a479d8","1","2024-01-04 20:21:07","2","Mobile.Schedule.Loaded","Not Completed","3","2024-01-04 20:18:47","2023-12-31","2024-02-03 20:18:47"
"437a35a81363c605a2cb9554799f911b","1","2024-01-04 21:37:27","2","Mobile.Schedule.Loaded","Completed","5","2024-01-04 20:56:57","2023-12-31","2024-02-03 20:56:57"
"063d9cafbfa0b73e46de8f2d5470d532","0","2024-01-05 14:09:07","1","Scheduling.Shift.Created","Not Completed","2","2024-01-05 14:06:35","2023-12-31","2024-02-04 14:06:35"
"3bddee6252fc97cdb5566503e10e52a8","0","2024-01-05 15:38:18","1","Scheduling.Shift.Created","Not Completed","2","2024-01-05 15:36:32","2023-12-31","2024-02-04 15:36:32"
"498cc671dbeb6d74ce536b31db565ffd","0","2024-01-05 15:58:04","1","Scheduling.Shift.Created","Not Completed","2","2024-01-05 15:52:30","2023-12-31","2024-02-04 15:52:30"
"1d4c83a11e4071bf422aaf0b90f886ca","1","2024-01-05 17:10:32","1","Scheduling.Shift.Created","Not Completed","3","2024-01-05 17:07:13","2023-12-31","2024-02-04 17:07:13"
"0d2464dfb8a6619faaa6c28e3c6186d2","0","2024-01-06 20:20:51","1","Scheduling.Shift.Created","Not Completed","2","2024-01-06 20:08:02","2023-12-31","2024-02-05 20:08:02"
"047438204e8253344d9aedf8c2541b80","0","2024-01-06 20:53:27","3","Scheduling.Shift.Approved","Completed","5","2024-01-06 19:27:15","2023-12-31","2024-02-05 19:27:15"
"2914a63f247ce0539cfced35d5890723","0","2024-01-06 22:05:15","0","First.Action","Not Completed","1","2024-01-06 13:16:16","2023-12-31","2024-02-05 13:16:16"
"1e53443ed16090738d6dfa7d7ad59fb2","0","2024-01-07 09:38:38","0","First.Action","Not Completed","1","2024-01-07 09:35:57","2024-01-07","2024-02-06 09:35:57"
"446f68218a9dc9e5dd4dc692b6e28371","0","2024-01-07 12:49:15","1","Scheduling.Shift.Created","Not Completed","3","2024-01-05 13:47:05","2023-12-31","2024-02-04 13:47:05"
"4b01c9783e41c24921f80012978ed36d","1","2024-01-07 14:07:27","2","Mobile.Schedule.Loaded","Completed","6","2024-01-07 13:51:02","2024-01-07","2024-02-06 13:51:02"
"201cac0f23f2e4e3546332b4a54627d2","0","2024-01-07 23:00:40","2","Mobile.Schedule.Loaded","Not Completed","2","2024-01-07 22:57:06","2024-01-07","2024-02-06 22:57:06"
"2888a9b7a80cf63feb6c5f784a4a39eb","1","2024-01-08 00:39:07","1","Scheduling.Shift.Created","Not Completed","3","2024-01-08 00:19:07","2024-01-07","2024-02-07 00:19:07"
"409bf41c504aea7c62966498beb1f011","0","2024-01-08 11:14:33","3","Scheduling.Shift.Approved","Completed","5","2024-01-05 11:39:51","2023-12-31","2024-02-04 11:39:51"
"3f27592fbe33dd77ff67b2494aa8cb9d","1","2024-01-08 11:26:39","1","Scheduling.Shift.Created","Not Completed","3","2024-01-08 11:22:53","2024-01-07","2024-02-07 11:22:53"
"33825ccb96c4cf3b08e17ab31b3c3fd4","1","2024-01-08 11:27:29","3","Scheduling.Shift.Approved","Not Completed","4","2024-01-08 11:13:56","2024-01-07","2024-02-07 11:13:56"
"38a790cbe120ed298f510ba04526231b","0","2024-01-08 11:29:31","4","Scheduling.Shift.AssignmentChanged","Not Completed","3","2024-01-08 09:00:45","2024-01-07","2024-02-07 09:00:45"
"0cc48d0871978ff0238c9b7c437d7b4b","1","2024-01-08 13:57:36","1","Scheduling.Shift.Created","Not Completed","3","2024-01-08 13:54:42","2024-01-07","2024-02-07 13:54:42"
"1be10b234e672e5610a6b5460aa926c9","0","2024-01-08 17:32:32","3","Scheduling.Shift.Approved","Completed","5","2024-01-07 11:40:01","2024-01-07","2024-02-06 11:40:01"
"0b8764c3d925af4e95f207cf6e5a888d","0","2024-01-08 18:59:11","2","Mobile.Schedule.Loaded","Completed","5","2024-01-03 19:01:27","2023-12-31","2024-02-02 19:01:27"
"364762dcfe5c7632bb91f2f2186a22f1","1","2024-01-08 20:11:35","1","Scheduling.Shift.Created","Not Completed","4","2024-01-08 20:08:25","2024-01-07","2024-02-07 20:08:25"
"33144d0d04b3e90a521678bd383df65b","0","2024-01-08 20:20:56","1","Scheduling.Shift.Created","Not Completed","2","2024-01-02 14:40:14","2023-12-31","2024-02-01 14:40:14"
"187c07046ea89c730f520fa75a08e349","0","2024-01-09 01:51:43","3","Scheduling.Shift.Approved","Completed","5","2024-01-09 01:16:02","2024-01-07","2024-02-08 01:16:02"
"11cd5f3f8f80de504b1cecd35b75c3a9","0","2024-01-09 09:50:31","1","Scheduling.Shift.Created","Not Completed","2","2024-01-09 09:47:25","2024-01-07","2024-02-08 09:47:25"
"3879fd5c14cac65384df2f97ceedee79","0","2024-01-09 12:13:19","1","Scheduling.Shift.Created","Not Completed","3","2024-01-09 12:02:19","2024-01-07","2024-02-08 12:02:19"
"3ab4252eb47336bae37d438bf50e725a","0","2024-01-09 13:39:15","1","Scheduling.Shift.Created","Not Completed","2","2024-01-09 13:35:47","2024-01-07","2024-02-08 13:35:47"
"11d5ea1d6883d3ee8ea5b8dac6d697d2","0","2024-01-09 14:02:54","2","Mobile.Schedule.Loaded","Not Completed","2","2024-01-09 13:57:58","2024-01-07","2024-02-08 13:57:58"
"424e1adcd92d905faa7269fcaa010e23","0","2024-01-09 14:39:38","4","Scheduling.Shift.AssignmentChanged","Completed","5","2024-01-08 03:33:53","2024-01-07","2024-02-07 03:33:53"
"16b5565f26fddafbf090f3208c4472b2","0","2024-01-09 17:07:12","1","Scheduling.Shift.Created","Not Completed","2","2024-01-09 17:00:52","2024-01-07","2024-02-08 17:00:52"
"018df05a737bec235e219ef3a15e2dc2","0","2024-01-09 17:15:16","1","Scheduling.Shift.Created","Not Completed","3","2024-01-09 17:11:13","2024-01-07","2024-02-08 17:11:13"
"0704c4ac7c1d3bbf3c1dd7af4349d458","0","2024-01-09 18:14:18","2","Mobile.Schedule.Loaded","Not Completed","4","2024-01-09 17:28:58","2024-01-07","2024-02-08 17:28:58"
"3a1d8731ae4d315bdc9be6832cff3d0c","1","2024-01-09 19:57:34","1","Scheduling.Shift.Created","Not Completed","4","2024-01-09 19:28:02","2024-01-07","2024-02-08 19:28:02"
"41b539360f36d6d28f08304293ace5b4","0","2024-01-09 20:41:51","1","Scheduling.Shift.Created","Not Completed","2","2024-01-09 20:38:27","2024-01-07","2024-02-08 20:38:27"
"30cc69b6591b7309e59191a8a88afff3","0","2024-01-09 22:19:49","1","Scheduling.Shift.Created","Not Completed","2","2024-01-09 22:14:32","2024-01-07","2024-02-08 22:14:32"
"3ad73afbbc3c36c1a9f1e326ee3b303f","0","2024-01-10 13:11:29","1","Scheduling.Shift.Created","Not Completed","2","2024-01-10 12:50:32","2024-01-07","2024-02-09 12:50:32"
"2ea2c8b908345f95a425c44a9d9245ea","0","2024-01-10 14:13:28","1","Scheduling.Shift.Created","Not Completed","2","2024-01-10 14:08:53","2024-01-07","2024-02-09 14:08:53"
"08fbf41b4ab025919457d94ba2dd2fcc","0","2024-01-10 17:50:51","1","Scheduling.Shift.Created","Not Completed","3","2024-01-10 17:42:57","2024-01-07","2024-02-09 17:42:57"
"4ab290eef0ff091c86270f72cd5df86f","1","2024-01-10 18:37:46","2","Mobile.Schedule.Loaded","Completed","5","2024-01-10 18:22:39","2024-01-07","2024-02-09 18:22:39"
"1534ecb5a4432e5e4cbf5afc6130e287","0","2024-01-10 19:22:17","3","Scheduling.Shift.Approved","Completed","6","2024-01-04 17:08:28","2023-12-31","2024-02-03 17:08:28"
"1a04133628339b48ec08dff40acc29ae","0","2024-01-10 20:51:02","2","Mobile.Schedule.Loaded","Not Completed","2","2024-01-10 16:27:13","2024-01-07","2024-02-09 16:27:13"
"116bcb6cea55b48cab680f040f3c6801","1","2024-01-10 21:49:06","1","Scheduling.Shift.Created","Not Completed","3","2024-01-10 21:46:48","2024-01-07","2024-02-09 21:46:48"
"025bc08842ce8b8ea81b68ec6dcda4fe","0","2024-01-10 23:09:15","1","Scheduling.Shift.Created","Not Completed","2","2024-01-10 23:07:31","2024-01-07","2024-02-09 23:07:31"
"0ca62ec25aabad5bea29bbebea918c2c","0","2024-01-11 02:28:37","1","Scheduling.Shift.Created","Not Completed","3","2024-01-11 02:21:27","2024-01-07","2024-02-10 02:21:27"
"1bae3e5dbf14173a578e2f81e8e4d0aa","0","2024-01-11 02:33:29","4","Scheduling.Shift.AssignmentChanged","Not Completed","3","2024-01-11 02:28:38","2024-01-07","2024-02-10 02:28:38"
"4470350d7805a727e882371013d98dfa","0","2024-01-11 05:14:31","1","Scheduling.Shift.Created","Not Completed","2","2024-01-11 05:11:40","2024-01-07","2024-02-10 05:11:40"
"3286cde17889f26ef7ce3c06e23d99fe","0","2024-01-11 09:48:41","1","Scheduling.Shift.Created","Not Completed","2","2024-01-11 09:46:55","2024-01-07","2024-02-10 09:46:55"
"0ad95b803b227a85a297fde00866fa31","1","2024-01-11 10:08:46","3","Scheduling.Shift.Approved","Not Completed","4","2024-01-11 09:12:35","2024-01-07","2024-02-10 09:12:35"
"38a309092afd9b6da40f95514d3795af","1","2024-01-11 12:02:24","1","Scheduling.Shift.Created","Not Completed","3","2024-01-11 11:38:04","2024-01-07","2024-02-10 11:38:04"
"03129b37388dfb824491fb54aec77553","1","2024-01-11 12:27:13","1","Scheduling.Shift.Created","Not Completed","3","2024-01-11 12:24:36","2024-01-07","2024-02-10 12:24:36"
